employment_income,amt0,amt1,amt2,amt3,amt4,amt5,amt6,amt7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82500.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
83000.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
83500.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0
84000.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0
84500.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0
85000.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0
85500.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0
86000.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0
86500.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0
87000.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0,327.0
87500.0,361.0,361.0,361.0,361.0,361.0,361.0,361.0,361.0
88000.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0
88500.0,429.0,429.0,429.0,429.0,429.0,429.0,429.0,429.0
89000.0,462.0,462.0,462.0,462.0,462.0,462.0,462.0,462.0
89500.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0
90000.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0
90500.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0
91000.0,597.0,597.0,597.0,597.0,597.0,597.0,597.0,597.0
91500.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0,631.0
92000.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0
92500.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0
93000.0,732.0,732.0,732.0,732.0,732.0,732.0,732.0,732.0
93500.0,766.0,766.0,766.0,766.0,766.0,766.0,766.0,766.0
94000.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0
94500.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0,834.0
95000.0,867.0,867.0,867.0,867.0,867.0,867.0,867.0,867.0
95500.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0
96000.0,935.0,935.0,935.0,935.0,935.0,935.0,935.0,935.0
96500.0,969.0,969.0,969.0,969.0,969.0,969.0,969.0,969.0
97000.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0
97500.0,1036.0,1036.0,1036.0,1036.0,1036.0,1036.0,1036.0,1036.0
98000.0,1070.0,1070.0,1070.0,1070.0,1070.0,1070.0,1070.0,1070.0
98500.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0
99000.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0
99500.0,1171.0,1171.0,1171.0,1171.0,1171.0,1171.0,1171.0,1171.0
100000.0,1205.0,1205.0,1205.0,1205.0,1205.0,1205.0,1205.0,1205.0
100500.0,1212.0,1239.0,1239.0,1239.0,1239.0,1239.0,1239.0,1239.0
101000.0,1219.0,1272.0,1272.0,1272.0,1272.0,1272.0,1272.0,1272.0
101500.0,1226.0,1306.0,1306.0,1306.0,1306.0,1306.0,1306.0,1306.0
102000.0,1233.0,1340.0,1340.0,1340.0,1340.0,1340.0,1340.0,1340.0
102500.0,1240.0,1374.0,1374.0,1374.0,1374.0,1374.0,1374.0,1374.0
103000.0,1247.0,1407.0,1407.0,1407.0,1407.0,1407.0,1407.0,1407.0
103500.0,1254.0,1441.0,1441.0,1441.0,1441.0,1441.0,1441.0,1441.0
